homelat,homelon,homecontinent,n
33.27,75.34,Kashmir,1
29.14,75.72,Hisar,9
13.47,78.83,Andhra Pradesh,1
23.34,85.3,Ranchi,2
12.54,78.35,"Bargur, TN",3
11.5,77.24,"SATHY, TN",2
33.73,75.14,"Anantnag, Kashmir",1
22.98,87.85,West Bengal ,1
23.34,85.3,Ranchi,1
33.63,74.26,Surankote,2
40.88,29.25,Pendik,1
38.96,35.24,Turkey,1
37.78,29.09,Denizli,1
27.99,120.69,Binzhou,1
23.13,113.26,Guangdong,1
39.9,116.4,Beijing  ,1
26.09,119.29,Fujian,1
30.59,114.3,Wuhan,1
43.79,87.62,Xinjiang,1
24.32,109.41,Guangxi,1
23.13,113.26,Guangdong,1
43.79,87.62,Xinjiang,1
40.81,111.76,Inner Mongolia,1
36.66,117.02,Shandong Province,1
23.13,113.26,Guangdong,1
22.31,114.16,Kedong,1
34.76,113.75,Henan ,2
35.14,36.75,Hama,5
22.95,18.49,Namibia,1
34.32,47.07,Kermanshah,1
35.1,59.1,Khorasan,1
40.14,47.57,Azerbaijan,1
31.43,49.04,Khuzestan,1
36.84,54.43,Gorgan,1
10.64,4.75,Burkina Faso,2
53.28,50.9,"Samara region, Kinelsky district",1
48.48,135.07,Khabarovsk,1
56.48,84.94,Tomsk,1
42.14,47.09,Dagestan,2
8.58,39.12,mojo,2
8.83,38.82,Akaki,1
10.78,35.56,Metekel,1
8.45,39.28,Wenji,1
8.52,39.25,Adama,1
30.55,22.93,South Africa,3
26.27,28.11,Gauteng,1
24.88,28.32,Warmbaths,1
12.86,30.21,Sudan,2
31.52,74.35,Lahore,1
17.6,8.08,Niger,2
12,8.59,Kanam,1
9.73,8.79,"Vom, Plateau State",1
30.73,31.71,Sharqia,1
30.01,31.21,Giza,1
30.73,31.71,Sharqiyah,1
31.11,30.93,kafr Elsheikh,1
26.82,30.8,Egypt,1
31.16,31.49,Dakahlia,1
24.4,88.97,Natore,1
23.91,90.21,Dhamrai,1
25.62,88.63,Dinajpur,1
25.81,89.64,Kurigram,1
24.74,90.42,Mymensingh,2
24.42,95.39,Sagaing region,1
40.87,29.25,Pendik,2
47.1,51.91,Atyrau region,1
53.21,63.63,Kostanay,1
43.57,75.21,Gvardeiskiy,3
47.09,51.92,Atyrau,1
31.04,34.85,Israel,1
41.24,26.13,Evros,1
42.46,21.76,Bujanovac,1
42.73,25.48,Yambol region,1
0.02,37.9,Kenya,3
1.51,36.85,Kitengela,2
0.35,37.58,Isiolo,1
33.97,6.84,Rabat,1
11.79,99.79,PraChuapKhiriKhan,2
13.75,100.5,Bangkok,2
24.43,118.31,Kinmen,1
22.7,105.72,Bang-Thanh,1
10.76,106.66,Dinh-To,1
22.77,106.78,Ly-Quoc,1
21.58,105.79,Quyet-Thang,1
22.31,114.16,Hong Kong,1
41.1,72.35,Greenport,5
21.47,55.97,Oman,1
21.91,49.36,Al-Hasa,1
7.94,1.02,Ghana,1
36.84,54.43,Gorgan,1
54.18,13.36,Insel Riems,2
53.54,113.49,Edmonton,3
15.55,48.51,Yemen,2
